smiles,pIC50
c1ccc2nc(N1CCOCC1)nc(Nc3cccc(C1CCC1)c3)c2c1,8.045
c1ccc2nc(N1CCN(C)CC1)nc(Nc3ccc(CC)cc3)c2c1,
c1cnc(Nc2ccc(C)cc2)nc1N1CCCC1,6.719
c1ccc2nc(NC1CCNCC1)nc(Nc3cccc(S(=O)(=O)C)c3)c2c1,8.307
c1cnc2cc(Nc3ccc(OCC)cc3)cn2c1,6.278
c1cnc(Nc2cc(F)ccc2)nc1NC1CCC1,6.016
c1cc(Nc2ccc(OCC)cc2)ncc1N(C)CC,8.444
c1cnc(Nc2ccc(OC)cc2)nc1N1CCOCC1,6.519
c1ccc2nc(N1CCCC1)nc(Nc3ccc(OC(F)(F)F)cc3)c2c1,6.894
c1cc(Cl)c2[nH]c(-c3ccnc(N1CCC(O)CC1)n3)nc2c1,6.942
c1cnc(Nc2cc(C(=O)NC)ccc2)nc1NC,6.793
c1ccc2nc(N1CCCCC1)nc(Nc3cccc(CC)c3)c2c1,7.641
c1nc(Nc2ccc(C)cc2)nc(n1)N1CCOCC1,6.79
c1cnc(Nc2cc(CCC)ccc2)nc1NCC1CC1,7.908
COc1cc2nc(N1CCNCC1)nc(Nc3cccc(OC)c3)c2cc1OC,8.229
c1cnc(Nc2cc(Br)ccc2)nc1N1CCC(O)CC1,6.714
c1cnc(Nc2cc(F)ccc2)nc1NCCC,6.392
c1ccc2[nH]c(-c3ccnc(NC1CCC1)n3)nc2c1,6.212
c1nc(Nc2ccc(NC(=O)C)cc2)nc(n1)N1CCN(C)CC1,8.339
c1nc(Nc2cccc(OC(F)(F)F)c2)nc(n1)N1CCC(N)CC1,7.697
c1cnc(Nc2ccc(OCCF)cc2)nc1N1CCCCC1C,7.4
c1ccnc(Nc2cccc(C(=O)NC)c2)c1N1CCCC(O)C1,6.517
c1nc(Nc2cccc(C#N)c2)nc(n1)NC1CCNCC1,7.572
COc1cc2nc(N1CCC(N)CC1)nc(Nc3ccc(F)cc3)c2cc1OC,7.916
c1cnc(Nc2cc(C#N)ccc2)nc1NCC(C)C,7.822
COc1cc2nc(N1CCCCC1)nc(Nc3cccc(CN)c3)c2cc1OC,9.013
COc1cc2nc(N1CCC(N)CC1)nc(Nc3cccc(CCC)c3)c2cc1OC,7.204
c1cnc(Nc2ccc(C1CCC1)cc2)nc1N1CCCCC1,6.75
c1cnc(Nc2cccc(C#N)c2)nc1N1CC(O)CC1,8.232
c1cnc(Nc2cc(OCCF)ccc2)nc1N1CCCC1C,7.532
c1nc(Nc2ccc(Cl)cc2)nc(n1)N1CCN(C)CC1,5.621
COc1cc2nc(NCCC)nc(Nc3ccc(F)cc3)c2cc1OC,7.169
c1nc(Nc2cccc(F)c2)nc(n1)N1CCOCC1,6.365
COc1cc2nc(N1CCCCC1)nc(Nc3cccc(C(=O)N)c3)c2cc1OC,6.836
c1ccnc(Nc2cccc(CC)c2)c1N1CCCCC1,8.051
c1cnc(Nc2cc(C)ccc2)nc1N1CC(C)CC1,6.024
c1ccc2nc(N1CCOCC1)nc(Nc3ccc(C)cc3)c2c1,7.058
c1ccc2nc(N1CCC(O)CC1)nc(Nc3cccc(OCC)c3)c2c1,6.409
c1cnc(Nc2cc(SC)ccc2)nc1NC1CCC1,7.645
c1cc(Nc2ccc(S(=O)(=O)C)cc2)ncc1N1CCC(F)CC1,7.643
COc1cc2nc(N1CCN(C)CC1)nc(Nc3ccc(CCC)cc3)c2cc1OC,6.167
c1nc(Nc2ccc(F)cc2)nc(n1)NC1CC1,6.8
c1ccc2nc(NCC(C)C)nc(Nc3cccc(N(C)C)c3)c2c1,7.738
c1nc(Nc2cccc(NC(=O)C)c2)nc(n1)NC,7.525
COc1cc2nc(N1CCC(F)CC1)nc(Nc3ccc(OC)cc3)c2cc1OC,7.537
c1nc(Nc2ccc(NC(=O)C)cc2)nc(n1)NC,8.515
c1nc(Nc2ccc(C1CC1)cc2)nc(n1)N1CCC(O)CC1,8.047
c1cc(OC)c2[nH]c(-c3ccnc(NCC(C)C)n3)nc2c1,8.131
c1nc(Nc2ccc(C(C)C)cc2)c2nc[nH]c2n1,6.907
c1c(Cl)cc2[nH]c(-c3ccnc(N1CCCCC1C)n3)nc2c1,6.94
COc1cc2nc(N1CC(C)CC1)nc(Nc3ccc(C1CCC1)cc3)c2cc1OC,5.536
c1cnc(Nc2ccc(OC(F)(F)F)cc2)nc1NCC(C)C,8.446
c1ccnc(Nc2ccc(C1CCC1)cc2)c1NC,7.154
c1ccc2nc(N1CC(C)CC1)nc(Nc3ccc(C(=O)N)cc3)c2c1,8.519
c1ccc2nc(NC1CCNCC1)nc(Nc3cccc(CN)c3)c2c1,6.69
COc1cc2nc(N1CCC(N)CC1)nc(Nc3ccc(C(F)(F)F)cc3)c2cc1OC,7.65
c1ccnc(Nc2cccc(C(C)C)c2)c1N(C)CC,6.616
c1cnc(Nc2cccc(S(=O)(=O)C)c2)nc1NC1CCNCC1,6.34
COc1cc2nc(NC1CCNCC1)nc(Nc3cccc(OC(F)(F)F)c3)c2cc1OC,6.358
c1ccnc(Nc2ccc(C1CCC1)cc2)c1N1CCN(C)CC1,5.667
c1cnc(Nc2cc(c1ccoc1)ccc2)nc1N1CCC(N)CC1,7.856
c1nc(Nc2cccc(CCC)c2)nc(n1)N1CCN(C)CC1,7.834
c1ccnc(Nc2cccc(C)c2)c1N1CC(O)CC1,6.66
c1ccnc(Nc2cccc(C(=O)N)c2)c1N1CCC(N)CC1,6.878
COc1cc2nc(N1CCNCC1)nc(Nc3ccc(CCC)cc3)c2cc1OC,7.978
c1cnc2c(Nc3ccc(NCC)cc3)ccn2c1,7.368
c1ccnc(Nc2ccc(S(=O)(=O)C)cc2)c1N1CC(O)CC1,6.826
c1cnc(Nc2cc(NS(=O)(=O)C)ccc2)nc1NC1CCC1,7.971
c1ccnc(Nc2ccc(F)cc2)c1NCC(C)C,7.917
c1ccc2nc(NC1CCNCC1)nc(Nc3cccc(OC)c3)c2c1,6.773
c1ccc2nc(NC)nc(Nc3cccc(CC)c3)c2c1,
COc1cc2nc(NC1CCNCC1)nc(Nc3ccc(OC)cc3)c2cc1OC,7.911
c1cnc(Nc2ccc(C#N)cc2)nc1NCC1CC1,7.517
c1ccnc(Nc2ccc(C1CC1)cc2)c1NC1CC1,7.444
c1ccnc(Nc2cccc(C1CCC1)c2)c1N(C)CC,8.094
c1ccnc(Nc2cccc(C(F)(F)F)c2)c1NC1CCNCC1,8.31
c1cnc(Nc2cc(C(=O)NC)ccc2)nc1N1CCN(C)CC1,6.098
c1cc(Cl)c2[nH]c(-c3ccnc(N1CCOCC1)n3)nc2c1,7.126
c1cnc(Nc2cccc(OCC)c2)nc1N1CCC(F)CC1,5.27
c1ccnc(Nc2cccc(C1CCC1)c2)c1NC,6.6
c1cc(C)c2[nH]c(-c3ccnc(NC1CCC1)n3)nc2c1,7.321
c1cnc(Nc2ccc(OCC)cc2)nc1N1CCC(OC)CC1,7.135
COc1cc2nc(N1CCN(CC)CC1)nc(Nc3ccc(CC)cc3)c2cc1OC,8.05
c1cc(Nc2ccc(F)cc2)ncc1NC,8.171
